ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
ActorRefWithCell;0;1;7;61;1;2;2;9;1;0;0;0;0;0;0;0;0;0;0;0
VirtualPathContainer;1;7;103;41;12;3;0;5;26;0;4;1;5;0;0;0;0;0;0;0
ActorRefExtensions;0;4;11;54;5;0;0;2;4;1;0;0;0;0;0;0;0;0;0;0
ActorRefFactoryExtensions;0;1;12;58;2;0;0;4;5;1;0;0;0;0;0;0;0;0;0;0
ActorRefFactoryShared;0;5;33;49;7;0;0;8;17;0;0;0;0;0;0;0;0;0;0;0
LocalActorRefProvider;1;26;234;41;39;0;0;31;107;24;3;5;9;0;2;0;0;0;0;0
ActorSelection;1;34;164;33;38;0;0;24;80;21;6;5;12;0;0;0;1;0;0;0
ActorSelectionMessage;1;1;22;51;2;0;0;6;5;1;0;0;0;0;0;0;0;0;0;0
SelectionPathElement;0;1;3;0;0;0;3;5;0;0;0;0;0;0;0;0;0;0;0;0
SelectChildName;0;5;21;34;8;1;0;4;12;3;0;0;0;0;0;0;0;0;0;0
SelectChildPattern;0;5;18;37;8;1;0;4;12;3;0;0;0;0;0;0;0;0;0;0
SelectParent;0;2;6;33;4;1;0;4;6;3;0;0;0;0;0;0;0;0;0;0
ActorSystem;0;3;67;67;20;0;1;104;28;66;0;0;0;0;0;0;0;0;0;0
Address;1;22;157;45;29;0;0;17;70;105;6;1;11;0;0;0;4;0;0;0
RelativeActorPath;1;4;22;21;4;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
EventStreamActor;0;1;7;41;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0
GuardianActor;0;3;16;36;4;1;0;5;6;1;0;0;0;0;0;0;0;0;0;0
SystemGuardianActor;0;10;83;20;14;1;0;8;26;4;0;0;0;0;0;0;0;0;0;0
DeadLetterActorRef;0;10;39;31;11;4;0;9;17;1;0;0;0;0;0;0;0;0;0;0
AlreadyCanceledCancelable;0;1;23;46;4;0;0;3;7;1;0;0;0;0;0;0;0;0;0;0
Cancelable;0;9;124;45;19;0;0;4;47;13;2;3;3;0;1;0;0;0;0;0
CancelableExtensions;0;2;7;36;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
ChildrenContainerBase;0;7;103;40;14;0;2;4;35;45;0;1;1;0;0;0;0;0;3;0
ChildNameReserved;0;1;10;33;1;0;0;6;3;0;0;0;0;0;0;0;0;0;0;0
ChildRestartStats;0;8;57;36;9;0;0;13;4;0;0;0;0;0;0;0;0;0;0;0
EmptyChildrenContainer;0;1;52;55;9;0;1;7;15;34;0;0;0;0;0;0;0;0;0;0
NormalChildrenContainer;0;6;44;45;12;1;0;8;25;21;0;0;0;0;0;0;0;0;0;0
SuspendReason;0;1;30;54;0;0;0;5;5;0;0;0;0;0;0;0;0;0;0;0
TerminatedChildrenContainer;0;1;26;50;3;1;0;4;6;3;0;0;0;0;0;0;0;0;0;0
TerminatingChildrenContainer;0;7;74;44;13;1;0;8;38;0;0;0;0;0;0;0;0;0;0;0
CoordinatedShutdownExtension;0;1;12;29;1;1;0;5;6;0;0;0;0;0;0;0;0;0;0;0
Phase;0;7;38;32;10;0;0;3;14;3;0;0;0;0;0;0;0;0;0;0
