ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
SpecializedMethod;0;29;189;6;24;2;0;11;66;9;0;1;1;0;1;0;0;0;0;0
SpecializedProperty;0;5;35;0;5;2;0;3;8;0;0;0;0;0;0;0;0;0;0;0
TypeParameterReference;0;14;56;6;16;0;0;8;12;0;0;0;0;0;0;0;0;0;0;0
TypeWithElementType;0;2;27;6;1;1;5;15;3;0;0;0;0;0;0;0;0;0;0;0
UnknownType;1;9;70;12;10;1;0;3;13;4;0;0;0;0;0;0;0;0;0;0
InheritanceHelper;0;40;119;15;44;0;0;6;33;6;3;4;4;0;0;0;0;0;2;0
IntersectionType;0;18;122;0;22;1;0;6;42;43;1;2;2;0;0;0;0;0;0;0
KnownTypeReference;0;20;141;6;21;0;0;14;59;4;0;0;0;0;0;0;0;0;0;0
NullableType;1;13;43;23;17;0;0;17;18;0;0;0;0;0;0;0;0;0;0;0
ParameterizedType;1;40;246;8;47;0;0;21;80;0;0;2;2;0;0;0;1;0;0;0
ParameterizedTypeReference;1;17;82;0;16;0;0;4;26;0;0;0;0;0;0;0;0;0;0;0
ParameterListComparer;0;17;59;4;19;0;0;4;11;0;0;0;0;0;0;0;0;0;0;0
SignatureComparer;0;14;44;6;14;0;0;6;9;0;0;0;0;0;0;0;0;0;0;0
PointerType;0;3;38;0;6;2;0;17;10;0;0;0;0;0;0;0;0;0;0;0
PointerTypeReference;0;3;31;0;5;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0
ReflectionHelper;0;79;298;22;92;0;0;13;91;41;0;0;0;0;0;0;0;0;0;0
ReflectionNameParseException;0;1;29;3;1;1;0;0;8;0;0;0;0;0;0;0;0;0;0;0
SimpleTypeResolveContext;0;4;56;0;2;0;0;3;12;0;0;0;0;0;0;0;0;0;0;0
SpecialType;0;4;51;29;7;1;0;50;13;4;0;0;0;0;0;0;0;0;0;0
TaskType;0;10;38;22;12;0;0;2;12;0;0;0;0;0;0;0;0;0;0;0
TopLevelTypeNameComparer;0;3;21;0;4;0;0;2;9;0;0;0;0;0;0;0;0;0;0;0
TypeParameterSubstitution;0;44;154;16;53;1;0;33;46;8;0;0;0;0;0;0;0;0;0;0
TypeSystemExtensions;0;54;304;34;84;0;0;13;111;321;2;8;8;0;0;0;0;0;0;0
TypeUtils;1;101;313;19;117;0;0;6;38;16;0;0;0;0;0;0;0;0;0;0
ReferenceResolvingException;0;1;19;47;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0
TypeVisitor;0;1;47;0;11;0;3;40;22;55;0;0;0;0;0;0;0;0;0;0
VarArgInstanceMethod;0;10;184;0;16;0;0;5;44;0;0;1;1;0;0;0;0;0;0;0
BusyManager;0;5;37;0;4;0;0;3;8;1;0;0;0;0;0;0;0;0;0;0
CacheManager;0;1;22;8;4;0;0;5;8;0;0;0;0;0;0;0;0;0;0;0
CallbackOnDispose;0;3;17;0;2;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0
CollectionExtensions;0;44;262;12;79;0;0;2;101;325;0;1;1;0;0;0;0;0;0;0
BitSet;0;30;192;14;47;0;0;8;56;0;0;0;0;0;0;0;0;0;0;0
CSharpPrimitiveCast;0;293;394;2;295;0;0;5;11;1;0;0;0;0;0;0;0;0;0;0
EmptyList;0;1;70;0;13;0;0;0;20;66;0;0;0;0;0;0;0;0;0;0
Empty;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ExtensionMethods;1;4;11;0;4;0;0;1;3;0;8;1;1;0;0;0;0;0;0;0
LazyInit;0;1;12;29;2;0;0;24;4;1;0;0;0;0;0;0;0;0;0;0
MultiDictionary;0;7;95;6;12;0;0;0;30;0;1;1;1;0;0;0;0;0;0;0
Platform;0;3;14;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ProjectedList;0;5;38;0;3;0;0;1;9;0;0;0;0;0;0;0;0;0;0;0
ReferenceComparer;0;1;12;0;2;0;0;3;4;1;0;0;0;0;0;0;0;0;0;0
TreeTraversal;0;10;58;29;13;0;0;3;33;1;0;0;0;0;0;0;0;0;2;0
UnionFind;0;6;52;0;9;0;0;0;16;0;0;0;0;0;0;0;0;0;0;0
BamlElement;0;1;10;0;0;0;0;43;2;0;0;0;0;0;0;0;0;0;0;0
BamlResourceNodeFactory;0;3;15;0;4;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0
BamlResourceFileHandler;0;1;13;0;2;0;0;1;9;1;0;0;0;0;0;0;0;0;0;0
BamlResourceEntryNode;1;21;104;0;27;3;0;2;73;21;20;7;26;0;0;0;13;0;0;2
BamlContext;0;13;55;0;14;0;0;14;19;1;1;1;1;0;0;0;1;0;0;0
BamlDocument;0;1;11;0;0;1;0;10;0;0;0;0;0;0;0;0;0;0;0;0
BamlNode;0;21;95;1;24;0;2;47;19;0;0;0;0;0;0;0;0;0;0;0
BamlRecordNode;0;1;6;0;0;1;0;22;1;0;0;0;0;0;0;0;0;0;0;0
BamlBlockNode;0;1;8;0;0;1;0;18;2;0;0;0;0;0;0;0;0;0;0;0
BamlBinaryReader;0;1;6;0;1;1;0;48;3;0;0;0;0;0;0;0;0;0;0;0
BamlReader;0;63;214;0;65;0;0;3;84;1;0;1;1;0;0;0;1;0;0;0
