ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
EntryPointGraph;0;3;50;0;7;0;0;3;30;2;5;3;3;0;0;0;0;0;0;0
VariableBinding;0;6;53;13;12;0;3;9;25;15;0;0;0;0;0;0;0;0;0;0
SimpleVariableBinding;0;1;17;0;2;1;0;3;4;1;0;0;0;0;0;0;0;0;0;0
DictionaryKeyVariableBinding;0;1;20;4;2;1;0;3;6;1;0;0;0;0;0;0;0;0;0;0
ArrayIndexVariableBinding;0;2;22;0;3;1;0;3;7;0;0;0;0;0;0;0;0;0;0;0
ParameterBinding;0;1;11;0;1;0;3;5;3;0;0;0;0;0;0;0;0;0;0;0
SimpleParameterBinding;0;2;19;0;3;1;0;5;5;0;0;0;0;0;0;0;0;0;0;0
DictionaryKeyParameterBinding;0;3;24;0;4;1;0;5;8;0;0;0;0;0;0;0;0;0;0;0
ArrayIndexParameterBinding;0;3;25;0;4;1;0;5;7;0;0;0;0;0;0;0;0;0;0;0
EvaluateInputBase;0;1;9;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0
TrainerEntryPointsUtils;0;17;75;2;18;0;0;4;31;1;0;0;0;0;0;0;0;0;0;0
CommonInputs;0;1;43;38;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0
InputBuilder;0;129;503;9;142;0;0;9;272;103;0;2;2;0;0;0;0;0;0;0
OutputHelper;0;14;71;4;13;0;0;2;39;0;0;0;0;0;0;0;0;0;0;0
FieldNames;0;1;104;14;0;0;0;8;5;0;0;0;0;0;0;0;0;0;0;0
PredictorModelImpl;0;5;103;5;9;0;0;2;68;0;0;1;1;0;0;0;0;0;0;0
SchemaManipulation;0;1;33;0;3;0;0;4;31;0;0;0;0;0;0;0;0;0;0;0
SelectRows;0;1;46;0;4;0;0;3;40;0;0;0;0;0;0;0;0;0;0;0
SummarizePredictor;0;10;70;1;11;0;0;5;29;1;0;0;0;0;0;0;0;0;0;0
TransformModelImpl;0;12;175;21;6;0;0;6;89;0;0;0;0;0;0;0;0;0;0;0
