ClassName;Faulty;CyclomaticComplexity;SourceLinesOfCode;CommentDensity;WeightedMethodsPerClass;DepthOfInheritance;NumberOfChildren;CouplingBetweenObjects;ResponseForAClass;LackOfCohesionOfMethods;LambdaScore;LambdaCount;SourceLinesOfLambda;LambdaUsed;LambdaFieldVariableUsageCount;LambdaFieldVariableUsed;LambdaLocalVariableUsageCount;LambdaLocalVariableUsed;UnterminatedCollections;LambdaSideEffectCount
ReferenceChangedEventData;0;1;20;47;0;2;0;8;3;0;0;0;0;0;0;0;0;0;0;0
SaveChangesCompletedEventData;0;1;13;43;0;2;0;6;1;0;0;0;0;0;0;0;0;0;0;0
SaveChangesEventData;0;1;15;46;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
ServiceProviderDebugInfoEventData;0;1;15;46;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0
ServiceProviderEventData;0;1;12;42;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
ServiceProvidersEventData;0;1;12;42;0;1;0;3;1;0;0;0;0;0;0;0;0;0;0;0
SharedDependentEntityEventData;0;1;15;46;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0
StateChangedEventData;0;1;16;46;0;2;0;6;1;0;0;0;0;0;0;0;0;0;0;0
TwoPropertyBaseCollectionsEventData;0;1;15;46;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0
TwoUnmappedPropertyCollectionsEventData;0;1;15;46;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0
ValueConverterEventData;0;1;15;46;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0
WarningsConfiguration;1;9;80;40;16;0;0;7;26;0;1;1;1;0;0;0;0;0;0;0
WarningsConfigurationBuilder;0;1;42;46;6;0;0;10;32;10;10;5;5;0;0;0;0;0;0;0
EF;1;1;98;65;20;0;0;10;40;0;0;0;0;0;0;0;0;0;0;0
EF;1;1;98;66;20;0;0;10;40;0;0;0;0;0;0;0;0;0;0;0
EF;0;1;10;66;1;0;0;10;6;0;0;0;0;0;0;0;0;0;0;0
ConventionAnnotatableExtensions;0;3;22;47;5;0;0;3;6;3;0;0;0;0;0;0;0;0;0;0
ConventionEntityTypeExtensions;0;12;195;66;62;0;0;5;156;1055;0;0;0;0;0;0;0;0;0;0
ConventionForeignKeyExtensions;0;2;8;66;3;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0
ConventionKeyExtensions;0;1;5;50;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
ConventionModelExtensions;0;7;97;59;25;0;0;6;94;79;0;0;0;0;0;0;0;0;0;0
ConventionNavigationExtensions;0;3;15;62;6;0;0;2;10;6;0;0;0;0;0;0;0;0;0;0
ConventionPropertyBaseExtensions;0;4;18;64;6;0;0;4;13;1;0;0;0;0;0;0;0;0;0;0
ConventionPropertyExtensions;0;21;83;69;45;0;0;7;71;210;0;0;0;0;0;0;0;0;0;0
ConventionTypeBaseExtensions;0;5;25;61;9;0;0;3;18;8;0;0;0;0;0;0;0;0;0;0
EntityFrameworkQueryableExtensions;1;32;960;64;117;0;0;11;622;559;3;17;34;0;0;0;2;0;0;0
EntityFrameworkServiceCollectionExtensions;0;8;157;68;20;0;0;8;67;10;9;7;16;0;0;0;1;0;0;0
EntityTypeExtensions;1;25;251;56;69;0;0;6;202;903;1;5;5;0;0;0;0;0;0;0
ForeignKeyExtensions;0;5;20;44;6;0;0;2;7;1;0;0;0;0;0;0;0;0;0;0
EFPropertyExtensions;1;18;81;38;26;0;0;3;32;13;0;0;0;0;0;0;0;0;0;0
EnumerableExtensions;1;11;98;37;20;0;0;1;39;45;2;2;3;0;0;0;0;0;0;0
ExpressionExtensions;1;42;200;33;59;0;0;5;78;153;1;3;3;0;0;0;2;0;0;0
ListExtensions;0;1;8;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
MethodInfoExtensions;1;2;10;37;2;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
QueryableExtensions;0;1;12;33;1;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0
TypeExtensions;1;25;139;20;33;0;0;2;59;34;1;2;2;0;0;0;0;0;0;0
KeyExtensions;1;1;5;50;1;0;0;2;5;0;0;0;0;0;0;0;0;0;0;0
ModelExtensions;1;2;55;56;11;0;0;4;52;21;0;0;0;0;0;0;0;0;0;0
MutableAnnotatableExtensions;1;2;19;48;4;0;0;3;6;3;0;0;0;0;0;0;0;0;0;0
MutableEntityTypeExtensions;1;2;164;68;48;0;0;5;146;871;0;0;0;0;0;0;0;0;0;0
MutableForeignKeyExtensions;0;2;8;66;3;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0
MutableKeyExtensions;0;1;5;50;1;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0
MutableModelExtensions;1;1;79;59;16;0;0;5;87;54;0;0;0;0;0;0;0;0;0;0
MutableNavigationExtensions;0;1;9;67;3;0;0;1;7;3;0;0;0;0;0;0;0;0;0;0
MutablePropertyBaseExtensions;1;1;10;70;2;0;0;3;10;0;0;0;0;0;0;0;0;0;0;0
MutablePropertyExtensions;1;1;38;78;16;0;0;6;42;30;0;0;0;0;0;0;0;0;0;0
MutableTypeBaseExtensions;0;1;11;66;2;0;0;2;10;0;0;0;0;0;0;0;0;0;0;0
NavigationExtensions;0;4;33;51;8;0;0;3;18;10;0;0;0;0;0;0;0;0;0;0
ObservableCollectionExtensions;0;1;9;43;1;0;0;2;4;0;0;0;0;0;0;0;0;0;0;0
PropertyBaseExtensions;1;4;20;61;7;0;0;3;15;6;0;0;0;0;0;0;0;0;0;0
PropertyExtensions;1;10;97;62;32;0;0;9;80;247;1;1;1;0;0;0;0;0;0;0
TransactionsDatabaseFacadeExtensions;0;3;24;29;4;0;0;5;9;1;0;0;0;0;0;0;0;0;0;0
TypeBaseExtensions;1;1;11;66;2;0;0;3;8;1;0;0;0;0;0;0;0;0;0;0
